a	b	vocab_jaccard	seq_ratio	duplicate
分割方法论总览 SaT Overview.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.2252	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	框架管状结构分割 Framelet.pdf	0.225	0	False
分割恢复联合模型 Segmentation Restoration.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2249	0	False
变分分割基础Mumford-Shah与ROF Mumford-Shah ROF.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.2246	0	False
分割恢复联合模型 Segmentation Restoration.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2244	0	False
分割方法论总览 SaT Overview.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.2232	0	False
两阶段分类 Two-Stage.pdf	框架管状结构分割 Framelet.pdf	0.2222	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2201	0	False
球面小波分割 Wavelet Sphere.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.22	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2197	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	球面小波分割 Wavelet Sphere.pdf	0.2196	0	False
分割方法论总览 SaT Overview.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2171	0	False
分割方法论总览 SaT Overview.pdf	分布式无线电优化 Distributed Radio Optimization.pdf	0.2167	0	False
多类ROF分割 Iterated ROF.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2164	0	False
分割方法论总览 SaT Overview.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.2145	0	False
分割方法论总览 SaT Overview.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.2118	0	False
框架管状结构分割 Framelet.pdf	高效变分分类 Efficient Variational.pdf	0.2105	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.205	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	多类ROF分割 Iterated ROF.pdf	0.204	0	False
多类ROF分割 Iterated ROF.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2036	0	False
框架分割管状结构 Framelet Tubular.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.2023	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	框架分割管状结构 Framelet Tubular.pdf	0.2017	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.1997	0	False
分布式无线电优化 Distributed Radio Optimization.pdf	框架管状结构分割 Framelet.pdf	0.1994	0	False
框架管状结构分割 Framelet.pdf	高维逆问题不确定性量化 Uncertainty Quantification.pdf	0.1991	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.1976	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	框架分割管状结构 Framelet Tubular.pdf	0.1974	0	False
SLaT三阶段分割 SLaT Segmentation.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.1972	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	框架分割管状结构 Framelet Tubular.pdf	0.1922	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	框架分割管状结构 Framelet Tubular.pdf	0.1881	0	False
无线电干涉不确定性II Radio Interferometric II.pdf	框架管状结构分割 Framelet.pdf	0.1873	0	False
分割恢复联合模型 Segmentation Restoration.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.1862	0	False
多类ROF分割 Iterated ROF.pdf	球面小波分割 Wavelet Sphere.pdf	0.1842	0	False
分割恢复联合模型 Segmentation Restoration.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.1828	0	False
分割恢复联合模型 Segmentation Restoration.pdf	在线无线电干涉成像 Online Radio Imaging.pdf	0.1783	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	框架管状结构分割 Framelet.pdf	0.1774	0	False
框架分割管状结构 Framelet Tubular.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.1756	0	False
分割恢复联合模型 Segmentation Restoration.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.1743	0	False
无线电干涉不确定性I Radio Interferometric I.pdf	框架管状结构分割 Framelet.pdf	0.174	0	False
框架管状结构分割 Framelet.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.1673	0	False
在线无线电干涉成像 Online Radio Imaging.pdf	多类ROF分割 Iterated ROF.pdf	0.1564	0	False
多类ROF分割 Iterated ROF.pdf	无线电干涉不确定性II Radio Interferometric II.pdf	0.1564	0	False
多类ROF分割 Iterated ROF.pdf	近端嵌套采样 Proximal Nested Sampling.pdf	0.1555	0	False
多类ROF分割 Iterated ROF.pdf	无线电干涉不确定性I Radio Interferometric I.pdf	0.1475	0	False
